"一般","格斗","飞行","毒","地面","岩石","虫","幽灵","火","水","草","电","超能力","冰","龙"
1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1
2,1,0.5,0.5,1,2,0.5,0,1,1,1,1,0.5,2,1
1,2,1,1,1,0.5,2,1,1,1,2,0.5,1,1,1
1,1,1,0.5,0.5,0.5,2,0.5,1,1,2,1,1,1,1
1,1,0,2,1,2,0.5,1,2,1,0.5,2,1,1,1
1,0.5,2,1,0.5,1,2,1,2,1,1,1,1,2,1
1,0.5,0.5,2,1,1,1,0.5,0.5,1,2,1,2,1,1
0,1,1,1,1,1,1,2,1,1,1,1,0,1,1
1,1,1,1,1,0.5,2,1,0.5,0.5,2,1,1,2,0.5
1,1,1,1,2,2,1,1,2,0.5,0.5,1,1,1,0.5
1,1,0.5,0.5,2,2,0.5,1,0.5,2,0.5,1,1,1,0.5
1,1,2,1,0,1,1,1,1,2,0.5,0.5,1,1,0.5
1,2,1,2,1,1,1,1,1,1,1,1,0.5,1,1
1,1,2,1,2,1,1,1,1,0.5,2,1,1,0.5,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
